検索結果／出荷地別取扱実績（ひらめ（国内））,,,,,,,,,,,,,,
（単位：ｋｇ・円）,,,,,,,,,,,,,,
出荷地,出荷地,合計,平成28年1月,平成28年2月,平成28年3月,平成28年4月,平成28年5月,平成28年6月,平成28年7月,平成28年8月,平成28年9月,平成28年10月,平成28年11月,平成28年12月
合計,数量,916714,64698,66220,62269,64776,112391,128268,85406,30479,43380,66984,93895,97948
合計,金額,1296023708,109748129,110805058,105687055,97744519,117826555,128897463,110863248,61897103,79497214,96193421,118061575,158802368
合計,平均価格,1414,1696,1673,1697,1509,1048,1005,1298,2031,1833,1436,1257,1621
北海道,数量,60472,191,4,26,2,1895,4822,4749,2733,8389,9624,17353,10684
北海道,金額,85856498,427615,5572,33653,5962,1909620,4963792,6047832,6366249,16243965,16421488,20873491,12557259
北海道,平均価格,1420,2239,1393,1294,2981,1008,1029,1273,2329,1936,1706,1203,1175
青森,数量,209833,5196,1038,775,5538,23275,40350,17780,5588,15072,33096,35949,26176
青森,金額,240942057,8925699,1652292,1388479,8726149,23165010,39637877,21130552,11807195,19206051,36025446,36623401,32653906
青森,平均価格,1148,1718,1592,1792,1576,995,982,1188,2113,1274,1089,1019,1247
岩手,数量,16298,519,97,88,182,684,1760,1171,541,759,1720,6196,2581
岩手,金額,19653076,716592,143414,125452,262245,708360,1704544,1421648,882501,1518019,2475405,6787894,2907002
岩手,平均価格,1206,1381,1478,1426,1441,1036,968,1214,1631,2000,1439,1096,1126
宮城,数量,240296,11201,9133,5025,7123,41219,59612,47575,9767,6802,8507,15794,18538
宮城,金額,292125272,16939964,12624522,7606781,9897207,35280831,55142434,57984640,17136014,15284265,12624278,21512226,30092110
宮城,平均価格,1216,1512,1382,1514,1389,856,925,1219,1754,2247,1484,1362,1623
秋田,数量,265,0,36,37,0,0,62,0,0,115,13,2,0
秋田,金額,401564,0,62564,65674,0,0,43838,0,0,201203,19591,8694,0
秋田,平均価格,1515,-,1738,1775,-,-,707,-,-,1750,1507,4347,-
山形,数量,3782,0,0,44,443,1245,1622,66,0,12,11,236,103
山形,金額,3942753,0,0,67587,607240,1073488,1414572,85130,0,16362,22712,437414,218248
山形,平均価格,1043,-,-,1536,1371,862,872,1290,-,1364,2065,1853,2119
福島,数量,30244,2412,1816,1464,2151,3722,4383,1102,140,218,1767,3527,7542
福島,金額,38183637,3145145,2322205,2002117,2612120,3727066,5103515,1756151,279721,482933,2730467,4437108,9585089
福島,平均価格,1263,1304,1279,1368,1214,1001,1164,1594,1998,2215,1545,1258,1271
茨城,数量,106340,16247,15900,14227,17414,11664,4967,2129,2266,2494,3299,5767,9966
茨城,金額,145810153,22474450,21487712,19419367,22142490,12139398,4402977,2661613,4314193,5903284,7597503,8348422,14918744
茨城,平均価格,1371,1383,1351,1365,1272,1041,886,1250,1904,2367,2303,1448,1497
埼玉,数量,383,5,0,0,0,60,30,102,0,0,36,139,11
埼玉,金額,454572,9018,0,0,0,65567,38005,142927,0,0,39852,137225,21978
埼玉,平均価格,1187,1804,-,-,-,1093,1267,1401,-,-,1107,987,1998
千葉,数量,103225,13433,12593,20712,19199,17060,2895,3469,2541,1853,831,1774,6865
千葉,金額,162937900,22278648,21925301,35220375,29122913,19940073,2892657,4540794,4040587,3557984,1471192,2821197,15126179
千葉,平均価格,1578,1659,1741,1700,1517,1169,999,1309,1590,1920,1770,1590,2203
東京,数量,75285,7803,5537,5150,5396,6433,5748,6041,5806,6403,6506,5443,9019
東京,金額,150965060,15546569,10894435,10556087,10348864,10445596,9345798,11125662,12853480,13504178,12530718,11615748,22197925
東京,平均価格,2005,1992,1968,2050,1918,1624,1626,1842,2214,2109,1926,2134,2461
神奈川,数量,5057,501,427,712,727,695,764,372,100,332,13,218,196
神奈川,金額,9109312,1594182,1104793,1591279,1161852,1094997,644531,492662,130382,347922,63078,404796,478838
神奈川,平均価格,1801,3182,2587,2235,1598,1576,844,1324,1304,1048,4852,1857,2443
新潟,数量,2568,0,0,96,348,1665,384,36,33,3,0,3,0
新潟,金額,1851925,0,0,98421,319487,1101876,251627,31817,42898,3758,0,2041,0
新潟,平均価格,721,-,-,1025,918,662,655,884,1300,1253,-,680,-
富山,数量,85,45,0,0,0,0,0,0,40,0,0,0,0
富山,金額,90547,44215,0,0,0,0,0,0,46332,0,0,0,0
富山,平均価格,1065,983,-,-,-,-,-,-,1158,-,-,-,-
石川,数量,65,0,0,2,0,36,6,18,0,0,0,3,0
石川,金額,32821,0,0,1469,0,18522,2592,8359,0,0,0,1879,0
石川,平均価格,505,-,-,735,-,515,432,464,-,-,-,626,-
福井,数量,40,0,0,25,13,0,0,0,2,0,0,0,0
福井,金額,70816,0,0,58990,7020,0,0,0,4806,0,0,0,0
福井,平均価格,1770,-,-,2360,540,-,-,-,2403,-,-,-,-
静岡,数量,2,0,2,0,0,0,0,0,0,0,0,0,0
静岡,金額,10368,0,10368,0,0,0,0,0,0,0,0,0,0
静岡,平均価格,5184,-,5184,-,-,-,-,-,-,-,-,-,-
愛知,数量,81,18,6,3,15,10,8,1,2,3,4,5,6
愛知,金額,135831,58752,6588,8100,14471,7301,7949,1404,3078,3629,5573,8618,10368
愛知,平均価格,1677,3264,1098,2700,965,730,994,1404,1539,1210,1393,1724,1728
三重,数量,1206,79,115,148,213,231,57,34,55,57,51,75,91
三重,金額,1898904,211366,151502,237278,283409,432936,53750,40014,81573,68742,55469,106370,176495
三重,平均価格,1575,2676,1317,1603,1331,1874,943,1177,1483,1206,1088,1418,1940
京都,数量,95,0,0,0,0,0,2,0,0,0,2,63,28
京都,金額,71603,0,0,0,0,0,2160,0,0,0,2052,43135,24256
京都,平均価格,754,-,-,-,-,-,1080,-,-,-,1026,685,866
兵庫,数量,434,136,112,14,20,10,15,19,29,29,0,22,28
兵庫,金額,1967222,689483,582886,56323,39172,35424,61075,110538,93982,39139,0,140400,118800
兵庫,平均価格,4533,5070,5204,4023,1959,3542,4072,5818,3241,1350,-,6382,4243
和歌山,数量,647,0,74,76,65,31,78,47,56,57,42,60,61
和歌山,金額,1193803,0,144310,152551,123747,56681,155365,83831,94281,92250,84311,101762,104714
和歌山,平均価格,1845,-,1950,2007,1904,1828,1992,1784,1684,1618,2007,1696,1717
鳥取,数量,174,0,27,0,87,23,0,0,0,0,33,4,0
鳥取,金額,153835,0,16286,0,75492,22637,0,0,0,0,35640,3780,0
鳥取,平均価格,884,-,603,-,868,984,-,-,-,-,1080,945,-
島根,数量,2262,511,37,0,342,73,0,8,2,149,760,295,85
島根,金額,2650171,595602,34204,0,396214,63985,0,4644,5670,215291,947915,290926,95720
島根,平均価格,1172,1166,924,-,1159,877,-,581,2835,1445,1247,986,1126
岡山,数量,11,0,0,0,11,0,0,0,0,0,0,0,0
岡山,金額,9245,0,0,0,9245,0,0,0,0,0,0,0,0
岡山,平均価格,840,-,-,-,840,-,-,-,-,-,-,-,-
山口,数量,906,119,358,58,96,48,0,0,0,0,61,118,48
山口,金額,1683299,219985,814838,105916,195749,35761,0,0,0,0,132548,83376,95126
山口,平均価格,1858,1849,2276,1826,2039,745,-,-,-,-,2173,707,1982
徳島,数量,16,0,0,0,4,12,0,0,0,0,0,0,0
徳島,金額,34452,0,0,0,9720,24732,0,0,0,0,0,0,0
徳島,平均価格,2153,-,-,-,2430,2061,-,-,-,-,-,-,-
香川,数量,461,7,0,0,11,6,65,1,39,92,41,150,49
香川,金額,351467,6005,0,0,12507,5033,67468,1404,33016,73484,26773,79457,46320
香川,平均価格,762,858,-,-,1137,839,1038,1404,847,799,653,530,945
愛媛,数量,13021,714,616,806,717,1505,520,612,655,515,537,524,5300
愛媛,金額,50818308,3433542,2837568,3240511,3154907,5005145,2755316,3044573,3488442,2677385,2801101,2760128,15619690
愛媛,平均価格,3903,4809,4606,4020,4400,3326,5299,4975,5326,5199,5216,5267,2947
高知,数量,50,0,11,9,17,13,0,0,0,0,0,0,0
高知,金額,66701,0,14493,11394,22777,18037,0,0,0,0,0,0,0
高知,平均価格,1334,-,1318,1266,1340,1387,-,-,-,-,-,-,-
福岡,数量,1132,290,179,306,133,50,56,49,42,21,6,0,0
福岡,金額,2003111,484932,273555,470318,234738,116424,133056,116424,99792,49896,23976,0,0
福岡,平均価格,1770,1672,1528,1537,1765,2328,2376,2376,2376,2376,3996,-,-
長崎,数量,26204,3324,9178,8333,4214,659,23,14,7,5,21,83,343
長崎,金額,50200741,7454211,17314749,15561929,7414133,1222923,25326,15704,10963,7474,50987,197284,925058
長崎,平均価格,1916,2243,1887,1868,1759,1856,1101,1122,1566,1495,2428,2377,2697
熊本,数量,13471,1276,8186,3806,110,7,0,0,0,0,0,49,37
熊本,金額,24709415,2695097,14833028,6833972,167206,3737,0,0,0,0,0,105721,70654
熊本,平均価格,1834,2112,1812,1796,1520,534,-,-,-,-,-,2158,1910
大分,数量,417,34,87,26,67,32,31,11,28,0,0,4,97
大分,金額,1013392,63018,166741,56948,91876,33403,31676,14925,77315,0,0,5616,471874
大分,平均価格,2430,1853,1917,2190,1371,1044,1022,1357,2761,-,-,1404,4865
宮崎,数量,148,113,9,14,0,6,0,0,0,0,3,0,3
宮崎,金額,310240,253433,11685,27950,0,8586,0,0,0,0,5346,0,3240
宮崎,平均価格,2096,2243,1298,1996,-,1431,-,-,-,-,1782,-,1080
鹿児島,数量,1738,524,642,287,118,22,8,0,7,0,0,39,91
鹿児島,金額,4313637,1480606,1369447,688134,285607,63406,15563,0,4633,0,0,123466,282775
鹿児島,平均価格,2482,2826,2133,2398,2420,2882,1945,-,662,-,-,3166,3107
